# Zadání úkolů pro předmět: Hermeneutika
# Vygenerováno: AI
# Datum: 2025-09-15 23:59:37

Úkol 1: Analyzujte textový fragment ze spisu Martin Heideggera "Byt a čas" a vysvětlujte, jakými způsobem se v něm dostavuje hermeneutický princip průniku skutečnosti a interpretace.

Úkol 2: Použijte teorii Paul Ricœura o "času a příběhu" a popište, jak se vztahuje k konceptu "žijícího času" od Martin Heideggera.

Úkol 3: Diskutujte, zda je hermeneutika jako filosofická disciplína schopna poskytnout univerzální metodologii pro analýzu textu. Uveďte příklady pro a proti.

Úkol 4: Zvolte textový fragment ze spisu Friedricha Schleiermachera "Díl o hermeneutice" a analyzujte, jak se v něm projevuje jeho pojetí hermeneutiky jako disciplíny soustředící se na interpretaci.

Úkol 5: Použijte teorii Hans-Georga Gadamera o "pojmovém jazyce" a popište, jak se vztahuje k konceptu "interpretace jako přetvoření" od Waltera Benjamina.

Úkol 6: Diskutujte, zda je hermeneutika jako filosofická disciplína schopna poskytnout univerzální metodologii pro analýzu kulturních fenoménů. Uveďte příklady pro a proti.

Úkol 7: Analyzujte textový fragment ze spisu Paul Ricœura "Na hranicích reality a fikce" a vysvětlujte, jakými způsobem se v něm dostavuje hermeneutický princip průniku reality a fikce.

Úkol 8: Použijte teorii Jürgena Habermase o "kritické teorií" a popište, jak se vztahuje k konceptu "hermeneutického cyklu" od Hans-Georga Gadamera.

Úkol 9: Diskutujte, zda je hermeneutika jako filosofická disciplína schopna poskytnout univerzální metodologii pro analýzu historických událostí. Uveďte příklady pro a proti.

Úkol 10: Zvolte textový fragment ze spisu Jacquesa Derridy "Grafy přítomnosti" a analyzujte, jak se v něm projevuje jeho pojetí hermeneutiky jako disciplíny soustředící se na dekonstrukci tradice.
